Feature ID	Taxon	Consensus
166a3e531d991ebc59f7e2e672ab24b3	k__Fungi; p__Mucoromycota; c__Umbelopsidomycetes; o__Umbelopsidales; f__Umbelopsidaceae; g__Umbelopsis	1.0
16ad4b690d31d1e35ef39b4018694906	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Diaporthales; f__Diaporthaceae; g__Diaporthe	0.8
16adf4fa0cabb6400cf5b1e7e0e4dd76	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__Sebacinaceae	0.7
16d50885d12479580b45e972a996c58b	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Tuberaceae; g__Tuber	1.0
16f9f8d63bff748cbc845c051fcc7813	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Curvularia	1.0
171aa09cb38bc8e92433eff4963eb2ee	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Coniochaetales; f__Coniochaetaceae; g__Coniochaeta	0.9
175c1a556d1edeaf2a93f684927735aa	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Clavariaceae	1.0
17ede06495561557eaf7f8a733491ca2	k__Metazoa; p__Tardigrada; c__Eutardigrada; o__Parachela; f__Hypsibiidae	1.0
1892198aafed2ec9a85903b4f24667df	k__Eukaryota; p__Euglenozoa; c__Kinetoplastea; o__Trypanosomatida; f__Trypanosomatidae; g__Leishmania	0.6
190994a3fdc64f30a34834beacc38ad4	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Humicola	0.6
192d64d562a7264a2bb2bd733038d206	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiales; g__Polyphilus	0.6
196a993ae186ec65369d3a44f162f1e2	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium	1.0
197741b5f854a474d628d5769e479bce	k__Fungi; p__Mucoromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus	0.6
199e5fa7de4dffc5aca74ad43219d7c6	k__Fungi; p__Ascomycota; c__Ascomycota; o__Ascomycota; f__Ascomycota; g__Ascomycota	0.6
19d3ebeba13c02a2b904f01ba5525665	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae	0.9
19e9bb9f995c91e63d07b9acba0ffc2b	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium	1.0
1a1dcb4ec1b5b1f297bbd149cf39b71a	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Gloniales; f__Gloniaceae; g__Cenococcum; s__geophilum	0.6
1a2164dc56fd2925606c5b3042a6df5d	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__Trichophaea	0.7
1a7d6744a9398c84926f2d3023610c27	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Thelebolales	0.8
1a89aefae5e7498bd8b18695827720f4	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Diatrypaceae	0.9
1a96070eee7e7112e21e01ea4334109c	k__Metazoa; p__Nematoda; c__Chromadorea; o__Rhabditida; f__Aphelenchoididae; g__Schistonchus; s__sp. 5068	1.0
1a9b0a1e0b09fb6fbb9085c0cb9d9b6e	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Phaeosphaeriaceae	1.0
1aa8e197183cf9e6221d2591258dc83b	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Helvellaceae; g__Helvella	1.0
1aab13568f6190333a4686ef88fd37a9	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hymenogastraceae; g__Alnicola	0.6
1adadbcb21122208570365d115a0923d	k__Eukaryota; p__Cercozoa; c__Cercozoa; o__Cercozoa; f__Cercozoa; g__Gymnophrys; s__sp. ATCC 50923	1.0
1b07901a510b06c201a03dc9187ed2d1	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Filobasidiales; f__Piskurozymaceae; g__Solicoccozyma; s__terricola	0.8
1bb25279721b311f0ee90f1f182ad378	k__Fungi; p__Basidiomycota; c__Agaricomycetes	1.0
1bd1bf62171d6ea64ce00283c1f90ebe	k__Fungi; p__Mucoromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Rhizophagus	0.6
1c7ae997533ebe42b06a3c841a0a35b4	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales	0.6
1cb5ac4dd16889935eb755736120e8ae	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales	1.0
1cc0fa63d489d7fc95fbb50656be1ee9	k__Fungi; p__Mucoromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae	1.0
1ce7bb24df8c755cece18f02a3993b8c	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Ilyonectria	0.7
1db2df083ed9a34e24d7f919d203f178	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__verticillioides 7600	0.7
1dd75c62423f2cb31c3cc1cf33a986b7	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium	1.0
1ddb591e786688fa2321d59161fcd414	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Rhinocladiella	0.7
1e3823dd0f77a9e245cae2d1856b653a	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium	1.0
1f2172ff43dcf62ff2d2834ac87ca010	k__Metazoa; p__Nematoda; c__Chromadorea; o__Rhabditida; f__Aphelenchoididae; g__Aphelenchoides; s__sp. NKZ223	1.0
1f2a545c8ae8d2959ab46184e7d455b0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium	1.0
1f2c83394ee6fa5e915980663d77ef97	k__Fungi; p__Mucoromycota; c__Umbelopsidomycetes; o__Umbelopsidales; f__Umbelopsidaceae; g__Umbelopsis; s__vinacea	0.9
1f4768d21bae7bfb58f028c40aa46f42	k__Fungi; p__Mucoromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus	0.6
1f7f58b2f4a7e3a421fa2e19455dedf0	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae	1.0
202665ab829990442687aa86dc841c8c	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Trichocladium; s__griseum	0.6
20535d21405d360d6a18c78985a0e36d	k__Fungi; p__Mucoromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus	0.6
2089ab9ae23c7ec58db567ac08ec9b0a	k__Fungi; p__Ascomycota; c__Dothideomycetes	0.9
20d73216f7dfe47a027103055ebe037e	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Dermateaceae	0.7
20f051dc25b4c6fe2e5c74c344ac9d51	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Chaetothyriales; g__Chaetothyriales; s__sp. MP-2014	0.8
2103f93a6dbc70c763f03584bc152213	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales	1.0
215bd94afee971e8e207599224fc10b8	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; g__Hyaloscypha	1.0
21dab00d5366add634575cd33773c96d	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Thelebolales	0.6
2250a4017d9ee8f0451257e42473a5c3	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; g__Hyaloscypha	0.7
2275b7d9a891021eed682fec5bd64313	k__Fungi; p__Ascomycota	1.0
2300cb77417706008ccf304a91050ddc	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Ceratobasidiaceae; g__Ceratobasidium	0.9
232361c4c10dcdf1989cc4e6fbac74a0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__Serendipitaceae; g__Serendipita; s__vermifera	0.8
238bf509cf77e6cff8cd193b22b5b3e5	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; g__Hyaloscypha	0.7
2477b632471d9176b920e6fe36ff2490	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Strophariaceae; g__Psilocybe	0.6
24d426da9792c903c0ff4ebad1d13d5d	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium	1.0
250a3fbc3b3c5b216b04b2b67b56dd57	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Trichoderma	1.0
2586c377c3ec3efa24075cdf86dc48b3	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Mycenaceae; g__Mycena	1.0
25a64b6a8eb3406fc015da3d5325c982	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Neonectria	0.6
260b430c948bc3ebdce929b6d700e40d	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Ceratobasidiaceae; g__Ceratobasidium	0.6
2611ba4cb3bd04df1b1c68a6bec6a943	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; g__Hyaloscypha	1.0
262c86e51d796f6abbbb47b80acfb900	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hymenogastraceae; g__Alnicola	0.8
26461f82c7e744b351dc0f608d7fc288	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae	1.0
273d421f773f3c2a5a2fb7291f06949a	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Filobasidiales; f__Piskurozymaceae; g__Solicoccozyma	1.0
27e48751f9f59d49cf5f7e53ebbd4894	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; g__Hyaloscypha	1.0
27f502c502cb9ca13c798b5c3d5fbfc9	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales	1.0
286220c61861f9bbc3062d9348229a82	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium	1.0
28686f208e3014622ccd171c4b99dadc	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__Serendipitaceae; g__Serendipita; s__vermifera	0.9
28723d57217bb5d9fd28d05aa2591a48	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium	0.9
29b4e1879e5f41e30cb556c2171d89b2	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__Serendipitaceae; g__Serendipita; s__vermifera	0.9
29f5a10b53a728a89066e39a190f3e65	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Ceratobasidiaceae; g__Ceratobasidium	0.8
2a0a1ac290e6a806332fd12643294159	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__Serendipitaceae; g__Serendipita; s__vermifera	0.6
2a4449a474ac64d3c0406c272b5c6dbb	Unassigned	1.0
2afed4f54eaf9ac33037dcfdc249934e	k__Fungi; p__Mucoromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae	1.0
2b3096dade3c7a0bed4daf58a96c1b9c	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Polyporaceae; g__Hornodermoporus; s__martius	1.0
2b8a3dcb8bf0d2a0bbff18232f94f631	k__Eukaryota; p__Ciliophora; c__Spirotrichea; o__Urostylida	1.0
2cb7d2516e6670f3acb384d22e2c4035	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pezizaceae; g__Terfezia	0.6
2ccb0843af1e18b41f9e60852a286c18	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Diaporthales; f__Diaporthaceae; g__Diaporthe	0.8
2cf1f1c722e0413a3ee7f9995371da00	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hamatocanthoscyphaceae	0.7
2db7016d111f48d7cd882bc771d63f4e	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Tuberaceae; g__Tuber	1.0
2e1cc19c1e61d16110f81b04a6288670	k__Fungi; p__Mucoromycota; c__Mucoromycetes; o__Mucorales; f__Mucoraceae; g__Mucor	0.9
2e6c2b8df73c39d6ab1ecf2347074136	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Thelebolales	0.6
2e6fc8aada88f7cb29980a03b90a5e47	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Tuberaceae; g__Tuber	1.0
2e73a068a2df9c7a9a9671539ef9704a	k__Fungi; p__Mucoromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae	1.0
2f70954df65e8c915cd74590f5e66d9e	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium	1.0
2f8a315bf2393af931d49de3f34ef068	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Trichoderma	1.0
2fa21573ce73ffa74ac7c359e4813fc7	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiales; g__Polyphilus	0.6
2fc9ec7472b0f3214406713ab1d457cb	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales	0.9
301f7c3ce2ba82becfe2ebaa5a036d9f	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Agaricaceae; g__Agaricus	0.6
30aedec632770e512359cbacc169e454	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Polyporaceae; g__Hornodermoporus; s__martius	1.0
310f5d6d2a426eb0b95dce607ce10d37	Unassigned	1.0
3141f63f1c36ac80700a4968fffaa87c	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium	1.0
316e5afea6b450f155f8cac3dbcada7f	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Polyporaceae; g__Hornodermoporus; s__martius	1.0
31a1668e185a737173d37b20d59fc545	k__Fungi; p__Mucoromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus	0.6
31b9b6718cc4466da7dcefa833e52dfe	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hymenogastraceae; g__Alnicola	0.6
31d2450a80d21d4793d7be8e44119c47	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium	0.9
3221185c126f035661bac9fd5c5f0f3b	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__Serendipitaceae; g__Serendipita	0.7
32561ebb80a6cb54a57db4f14d56c2ee	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Tulasnellaceae; g__Tulasnella; s__calospora	0.556
328160d0d12b4144570b8c64b686e29e	k__Metazoa; p__Nematoda; c__Chromadorea; o__Rhabditida; f__Aphelenchoididae; g__Aphelenchoides; s__sp. NKZ223	1.0
32d551331693d29da5371658d4686564	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Bionectriaceae; g__Clonostachys	0.8
32d5e3e6505afe683f4b41bc43dbe466	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium	1.0
333fc3611b0db0a76e6934125110ef24	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__Serendipitaceae; g__Serendipita; s__vermifera	0.8
3391abfbf8f5762bab15fad248b1e37c	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__Serendipitaceae; g__Serendipita; s__vermifera	0.8
33bad2bce1f4e7e72a2da2c2d0ae5b41	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; g__Hyaloscypha	1.0
33e55bcee034a3fa57a98a200ea9628f	Unassigned	1.0
34e64240c7cedd996513f920f7c57f33	k__Fungi; p__Mucoromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus	0.6
351cc80044fa6cc90c822d5fdcc5a223	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium	0.8
360d7586ee95820d777fb676d201db56	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales	1.0
3616013e8c0d23dec1286a4e383db78a	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; g__Hyaloscypha	1.0
363ec947d6843c223610190c94744c3e	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales	1.0
365d72a01152899cddb22c63207e7521	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Dermateaceae; g__Coleophoma	1.0
367212e46c6ca50a2b77aa80e8d44aaf	k__Metazoa; p__Nematoda; c__Chromadorea; o__Rhabditida; f__Aphelenchoididae; g__Schistonchus; s__sp. 5068	1.0
